Country,Population
,
China,"1,393,686,493"
India,"1,358,137,719"
United States of America,"328,835,763"
Indonesia,"266,357,298"
Brazil,"212,873,151"
Pakistan,"200,662,818"
Nigeria,"196,752,840"
Bangladesh,"166,734,722"
Russian Federation,"143,261,490"
Mexico,"131,788,271"
Japan,"125,738,357"
Ethiopia,"106,863,442"
Philippines,"105,341,062"
Egypt,"97,006,920"
Viet Nam,"96,356,744"
D.R. Congo,"84,825,354"
Iran,"81,810,283"
Turkey,"81,086,257"
Germany,"80,560,850"
Thailand,"68,415,739"
United Kingdom,"65,912,569"
France,"65,205,671"
Italy,"59,788,104"
Tanzania,"58,636,512"
South Africa,"55,866,711"
Myanmar,"55,311,238"
Republic of Korea,"50,896,594"
Kenya,"49,695,319"
Colombia,"49,468,825"
Spain,"46,116,884"
Argentina,"44,691,517"
Ukraine,"44,170,002"
Sudan,"43,196,092"
Uganda,"43,020,681"
Algeria,"41,729,942"
Iraq,"39,751,312"
Poland,"38,522,728"
Canada,"36,958,491"
Morocco,"35,651,885"
Afghanistan,"34,935,713"
Saudi Arabia,"33,299,935"
Peru,"32,553,697"
Venezuela,"32,328,063"
Malaysia,"31,570,576"
Uzbekistan,"31,064,765"
Mozambique,"30,338,988"
Nepal,"29,521,803"
Ghana,"29,280,235"
Yemen,"28,758,331"
Angola,"27,497,645"
Madagascar,"26,326,352"
Dem. People's Republic of Korea,"25,527,001"
Cameroon,"25,111,719"
Australia,"24,966,531"
Côte d'Ivoire,"24,387,362"
Taiwan,"23,410,026"
Niger,"22,445,308"
Sri Lanka,"20,996,478"
Burkina Faso,"19,724,353"
Syrian Arab Republic,"19,482,401"
Mali,"19,263,634"
Romania,"19,105,089"
Malawi,"18,860,963"
Chile,"18,492,710"
Kazakhstan,"18,256,484"
Zambia,"17,772,835"
Guatemala,"17,340,239"
Netherlands,"17,084,531"
Ecuador,"16,864,977"
Zimbabwe,"16,713,345"
Senegal,"16,524,429"
Cambodia,"16,323,953"
Chad,"15,443,905"
Guinea,"13,639,439"
South Sudan,"13,438,609"
Rwanda,"12,438,723"
Burundi,"12,328,560"
Benin,"11,755,337"
Somalia,"11,723,108"
Tunisia,"11,611,602"
Belgium,"11,513,025"
Cuba,"11,383,128"
Bolivia,"11,217,865"
Haiti,"11,116,513"
Dominican Republic,"10,882,207"
Greece,"10,871,762"
Czech Republic,"10,563,111"
Portugal,"10,229,432"
Azerbaijan,"10,070,075"
Sweden,"9,987,062"
Hungary,"9,754,429"
United Arab Emirates,"9,542,843"
Belarus,"9,429,102"
Tajikistan,"9,046,723"
Serbia,"8,742,764"
Austria,"8,613,647"
Switzerland,"8,523,590"
Israel,"8,455,489"
Honduras,"8,420,268"
Papua New Guinea,"8,092,518"
Jordan,"7,985,411"
Togo,"7,889,759"
"China, Hong Kong SAR","7,455,254"
Laos,"7,158,246"
Bulgaria,"6,992,150"
Paraguay,"6,897,385"
Sierra Leone,"6,875,056"
Libya,"6,505,278"
Nicaragua,"6,285,172"
Kyrgyzstan,"6,213,441"
El Salvador,"6,188,441"
Lebanon,"6,021,629"
Singapore,"5,866,547"
Denmark,"5,732,713"
Eritrea,"5,616,801"
Turkmenistan,"5,565,070"
Finland,"5,556,439"
Slovakia,"5,434,237"
Norway,"5,387,342"
Central African Republic,"5,200,921"
State of Palestine,"5,061,292"
Congo,"4,995,596"
Costa Rica,"4,952,954"
Liberia,"4,848,701"
Ireland,"4,790,845"
Oman,"4,774,323"
New Zealand,"4,646,548"
Mauritania,"4,367,533"
Croatia,"4,194,538"
Kuwait,"4,176,642"
Panama,"4,111,706"
Republic of Moldova,"4,044,534"
Georgia,"3,973,681"
Bosnia and Herzegovina,"3,782,297"
Puerto Rico,"3,677,835"
Uruguay,"3,469,771"
Mongolia,"3,095,592"
Armenia,"3,034,998"
Albania,"2,919,422"
Jamaica,"2,822,897"
Lithuania,"2,817,402"
Namibia,"2,622,723"
Botswana,"2,383,184"
Qatar,"2,378,373"
Lesotho,"2,209,595"
Gambia,"2,187,265"
TFYR Macedonia,"2,085,315"
Slovenia,"2,073,018"
Guinea-Bissau,"1,977,645"
Latvia,"1,935,780"
Gabon,"1,839,575"
Bahrain,"1,442,394"
Trinidad and Tobago,"1,372,648"
Swaziland,"1,335,999"
Estonia,"1,302,401"
Mauritius,"1,284,928"
Timor-Leste,"1,262,927"
Cyprus,"1,198,198"
Djibouti,"923,181"
Equatorial Guinea,"919,654"
Fiji,"907,188"
Réunion,"879,548"
Comoros,"844,866"
Bhutan,"801,257"
Guyana,"778,420"
Montenegro,"626,240"
Solomon Islands,"617,467"
"China, Macao SAR","615,471"
Western Sahara,"607,907"
Luxembourg,"591,126"
Suriname,"556,485"
Cabo Verde,"539,924"
Guadeloupe,"474,223"
Brunei Darussalam,"439,908"
Malta,"421,387"
Bahamas,"401,412"
Martinique,"395,629"
Belize,"382,395"
Maldives,"381,786"
Iceland,"336,938"
French Polynesia,"291,508"
French Guiana,"289,847"
Barbados,"286,432"
Vanuatu,"282,229"
New Caledonia,"273,032"
Mayotte,"259,717"
Sao Tome and Principe,"202,617"
Samoa,"196,902"
Saint Lucia,"189,142"
Guam,"176,268"
Channel Islands,"165,998"
Curaçao,"161,279"
Kiribati,"118,417"
Saint Vincent and the Grenadines,"110,186"
Tonga,"108,775"
Grenada,"108,379"
United States Virgin Islands,"106,746"
Micronesia (Fed. States of),"106,249"
Aruba,"104,876"
Seychelles,"98,013"
Antigua and Barbuda,"94,579"
