Team1,Team2,Score1,Score2,Date/Time
Brazil,Germany,1,7,2014-07-08 17:00:00
Brazil,Netherlands,0,3,2014-07-12 17:00:00
Germany,Argentina,1,0,2014-07-13 16:00:00
Netherlands,Argentina,0,0,2014-07-09 17:00:00
Netherlands,Costa Rica,0,0,2014-07-05 17:00:00
Argentina,Belgium,1,0,2014-07-05 13:00:00
Netherlands,Mexico,2,1,2014-06-29 13:00:00
Costa Rica,Greece,1,1,2014-06-29 17:00:00
Argentina,Switzerland,1,0,2014-07-01 13:00:00
Belgium,United States,2,1,2014-07-01 17:00:00
South Africa,Mexico,1,1,2010-06-11 16:00:00
Uruguay,France,0,0,2010-06-11 20:30:00
South Korea,Greece,2,0,2010-06-12 13:30:00
Argentina,Nigeria,1,0,2010-06-12 16:00:00
England,United States,1,1,2010-06-12 20:30:00
Algeria,Slovenia,0,1,2010-06-13 13:30:00
Serbia,Ghana,0,1,2010-06-13 16:00:00
Germany,Australia,4,0,2010-06-13 20:30:00
Netherlands,Denmark,2,0,2010-06-14 13:30:00
Japan,Cameroon,1,0,2010-06-14 16:00:00
Italy,Paraguay,1,1,2010-06-14 20:30:00
New Zealand,Slovakia,1,1,2010-06-15 13:30:00
Cote d'Ivoire,Portugal,0,0,2010-06-15 16:00:00
Brazil,North Korea,2,1,2010-06-15 20:30:00
Honduras,Chile,0,1,2010-06-16 13:30:00
Spain,Switzerland,0,1,2010-06-16 16:00:00
South Africa,Uruguay,0,3,2010-06-16 20:30:00
Argentina,South Korea,4,1,2010-06-17 13:30:00
Greece,Nigeria,2,1,2010-06-17 16:00:00
France,Mexico,0,2,2010-06-17 20:30:00
Germany,Serbia,0,1,2010-06-18 13:30:00
Slovenia,United States,2,2,2010-06-18 16:00:00
England,Algeria,0,0,2010-06-18 20:30:00
Netherlands,Japan,1,0,2010-06-19 13:30:00
Ghana,Australia,1,1,2010-06-19 16:00:00
Cameroon,Denmark,1,2,2010-06-19 20:30:00
Slovakia,Paraguay,0,2,2010-06-20 13:30:00
Italy,New Zealand,1,1,2010-06-20 16:00:00
Brazil,Cote d'Ivoire,3,1,2010-06-20 20:30:00
Portugal,North Korea,7,0,2010-06-21 13:30:00
Chile,Switzerland,1,0,2010-06-21 16:00:00
Spain,Honduras,2,0,2010-06-21 20:30:00
Mexico,Uruguay,0,1,2010-06-22 16:00:00
France,South Africa,1,2,2010-06-22 16:00:00
Nigeria,South Korea,2,2,2010-06-22 20:30:00
Greece,Argentina,0,2,2010-06-22 20:30:00
Slovenia,England,0,1,2010-06-23 16:00:00
United States,Algeria,1,0,2010-06-23 16:00:00
Ghana,Germany,0,1,2010-06-23 20:30:00
Australia,Serbia,2,1,2010-06-23 20:30:00
