Northern Mariana Islands,464 km²
Marshall Islands,181 km²
Faroe Islands,"1,393 km²"
Sint Maarten,34 km²
Monaco,2.02 km²
Liechtenstein,160 km²
Turks and Caicos Islands,948 km²
Gibraltar,6 km²
San Marino,61 km²
British Virgin Islands,151 km²
Palau,459 km²
Cook Islands,236 km²
Anguilla,91 km²
Wallis and Futuna,142 km²
Tuvalu,26 km²
Nauru,21 km²
Saint Pierre and Miquelon,242 km²
Montserrat,102 km²
Falkland Islands,"12,173 km²"
Niue,260 km²
Tokelau,12 km²
Vatican City,0.44 km²
